"cod_municipio","municipio","estado","valor"
1501576,Bom Jesus do Tocantins,PA,195
1501600,Bonito,PA,70
1501709,Bragança,PA,600
1501725,Brasil Novo,PA,300
1501758,Brejo Grande do Araguaia,PA,700
1501907,Bujaru,PA,120
1501956,Cachoeira do Piriá,PA,650
1502103,Cametá,PA,264
1502152,Canaã dos Carajás,PA,6180
1502202,Capanema,PA,400
1502301,Capitão Poço,PA,1500
1502400,Castanhal,PA,400
1502608,Colares,PA,10
1502707,Conceição do Araguaia,PA,800
1502756,Concórdia do Pará,PA,60
1502764,Cumaru do Norte,PA,10964
1502772,Curionópolis,PA,2678
1502855,Curuá,PA,56
1502905,Curuçá,PA,20
1502939,Dom Eliseu,PA,5200
1502954,Eldorado do Carajás,PA,1648
1503002,Faro,PA,6
1503044,Floresta do Araguaia,PA,700
1503077,Garrafão do Norte,PA,1250
1503101,Gurupá,PA,30
1503200,Igarapé-Açu,PA,130
1503309,Igarapé-Miri,PA,40
1503408,Inhangapi,PA,10
1503457,Ipixuna do Pará,PA,2905
1503507,Irituia,PA,500
1503606,Itaituba,PA,450
1503705,Itupiranga,PA,3620
1503754,Jacareacanga,PA,85
1503903,Juruti,PA,20
1504000,Limoeiro do Ajuru,PA,18
1504059,Mãe do Rio,PA,600
1504109,Magalhães Barata,PA,30
1504208,Marabá,PA,7455
1504307,Maracanã,PA,250
1504406,Marapanim,PA,40
1504455,Medicilândia,PA,1700
1504604,Mocajuba,PA,4000
1504703,Moju,PA,800
1504752,Mojuí dos Campos,PA,39000
1504802,Monte Alegre,PA,9000
1504950,Nova Esperança do Piriá,PA,5000
1504976,Nova Ipixuna,PA,600
1505007,Nova Timboteua,PA,160
1505031,Novo Progresso,PA,4000
1505106,Óbidos,PA,100
1505205,Oeiras do Pará,PA,84
1505304,Oriximiná,PA,147
1505403,Ourém,PA,200
1505437,Ourilândia do Norte,PA,305
1505486,Pacajá,PA,1610
1505494,Palestina do Pará,PA,510
1505502,Paragominas,PA,12625
1505536,Parauapebas,PA,2800
1505601,Peixe-Boi,PA,350
1505635,Piçarra,PA,3500
1505650,Placas,PA,1230
1505908,Porto de Moz,PA,140
1506005,Prainha,PA,1900
1506104,Primavera,PA,230
1506112,Quatipuru,PA,40
1506138,Redenção,PA,2750
1506161,Rio Maria,PA,390
1506187,Rondon do Pará,PA,2754
1506195,Rurópolis,PA,2220
1506203,Salinópolis,PA,120
1506351,Santa Bárbara do Pará,PA,30
1506559,Santa Luzia do Pará,PA,400
1506583,Santa Maria das Barreiras,PA,34000
1506609,Santa Maria do Pará,PA,700
1506708,Santana do Araguaia,PA,55500
1506807,Santarém,PA,27000
1506906,Santarém Novo,PA,400
1507003,Santo Antônio do Tauá,PA,60
1507102,São Caetano de Odivelas,PA,20
1507151,São Domingos do Araguaia,PA,927
1507201,São Domingos do Capim,PA,350
1507300,São Félix do Xingu,PA,8000
1507409,São Francisco do Pará,PA,300
1507458,São Geraldo do Araguaia,PA,5900
1507466,São João da Ponta,PA,20
1507474,São João de Pirabas,PA,80
1507508,São João do Araguaia,PA,392
1507607,São Miguel do Guamá,PA,1000
1507755,Sapucaia,PA,600
1507805,Senador José Porfírio,PA,600
1507953,Tailândia,PA,18000
1507961,Terra Alta,PA,5
1507979,Terra Santa,PA,8
1508001,Tomé-Açu,PA,720
1508035,Tracuateua,PA,90
1508050,Trairão,PA,2300
1508084,Tucumã,PA,1200
1508126,Ulianópolis,PA,9880
1508159,Uruará,PA,1800
1508308,Viseu,PA,800
1508357,Vitória do Xingu,PA,300
1508407,Xinguara,PA,805
1600055,Serra do Navio,AP,88
1600105,Amapá,AP,33
1600154,Pedra Branca do Amapari,AP,88
1600204,Calçoene,AP,82
1600212,Cutias,AP,32
1600238,Ferreira Gomes,AP,55
1600253,Itaubal,AP,78
1600279,Laranjal do Jari,AP,138
1600303,Macapá,AP,119
1600402,Mazagão,AP,73
1600501,Oiapoque,AP,18
1600535,Porto Grande,AP,94
1600550,Pracuúba,AP,50
1600600,Santana,AP,66
1600709,Tartarugalzinho,AP,276
1600808,Vitória do Jari,AP,48
1700251,Abreulândia,TO,3300
1700301,Aguiarnópolis,TO,65
1700350,Aliança do Tocantins,TO,750
1700400,Almas,TO,3700
1700707,Alvorada,TO,3800
1701002,Ananás,TO,142
1701051,Angico,TO,300
1701101,Aparecida do Rio Negro,TO,15465
1701309,Aragominas,TO,850
1701903,Araguacema,TO,7000
1702000,Araguaçu,TO,1500
1702109,Araguaína,TO,1040
1702158,Araguanã,TO,14
1702208,Araguatins,TO,200
1702307,Arapoema,TO,540
1702406,Arraias,TO,620
1702554,Augustinópolis,TO,100
1702703,Aurora do Tocantins,TO,135
1702901,Axixá do Tocantins,TO,125
1703008,Babaçulândia,TO,413
1703057,Bandeirantes do Tocantins,TO,50
1703073,Barra do Ouro,TO,350
1703107,Barrolândia,TO,100
1703206,Bernardo Sayão,TO,210
1703305,Bom Jesus do Tocantins,TO,3404
1703602,Brasilândia do Tocantins,TO,50
1703701,Brejinho de Nazaré,TO,3240
1703800,Buriti do Tocantins,TO,30
1703826,Cachoeirinha,TO,70
1703842,Campos Lindos,TO,58612
1703867,Cariri do Tocantins,TO,1440
1703883,Carmolândia,TO,148
1703891,Carrasco Bonito,TO,20
1703909,Caseara,TO,24000
1704105,Centenário,TO,750
1704600,Chapada de Areia,TO,30
1705102,Chapada da Natividade,TO,4700
1705508,Colinas do Tocantins,TO,10
1705557,Combinado,TO,90
1705607,Conceição do Tocantins,TO,145
1706001,Couto Magalhães,TO,2800
1706100,Cristalândia,TO,230
1706258,Crixás do Tocantins,TO,300
1706506,Darcinópolis,TO,4000
1707009,Dianópolis,TO,10133
1707108,Divinópolis do Tocantins,TO,4400
1707207,Dois Irmãos do Tocantins,TO,1700
1707306,Dueré,TO,540
1707405,Esperantina,TO,50
1707553,Fátima,TO,670
1707652,Figueirópolis,TO,1155
1707702,Filadélfia,TO,240
1708205,Formoso do Araguaia,TO,1000
1708254,Tabocão,TO,4220
1708304,Goianorte,TO,976
1709005,Goiatins,TO,5400
1709302,Guaraí,TO,3400
1709500,Gurupi,TO,1200
1709807,Ipueiras,TO,460
1710508,Itacajá,TO,2500
1710706,Itaguatins,TO,70
1710904,Itapiratins,TO,6610
1711100,Itaporã do Tocantins,TO,20
1711506,Jaú do Tocantins,TO,720
1711803,Juarina,TO,420
1711902,Lagoa da Confusão,TO,2500
1712009,Lajeado,TO,300
1712157,Lavandeira,TO,70
1712405,Lizarda,TO,2710
1712454,Luzinópolis,TO,206
1712504,Marianópolis do Tocantins,TO,7700
1712702,Mateiros,TO,4300
1712801,Maurilândia do Tocantins,TO,115
1713205,Miracema do Tocantins,TO,2600
1713304,Miranorte,TO,8158
1713601,Monte do Carmo,TO,12295
1713700,Monte Santo do Tocantins,TO,300
1713809,Palmeiras do Tocantins,TO,171
1713957,Muricilândia,TO,210
1714203,Natividade,TO,1150
1714302,Nazaré,TO,74
1714880,Nova Olinda,TO,160
1715002,Nova Rosalândia,TO,2203
1715101,Novo Acordo,TO,940
1715150,Novo Alegre,TO,70
1715259,Novo Jardim,TO,120
1715507,Oliveira de Fátima,TO,70
1715705,Palmeirante,TO,1240
1715754,Palmeirópolis,TO,450
1716109,Paraíso do Tocantins,TO,1757
1716208,Paranã,TO,135
1716307,Pau D'Arco,TO,15
1716505,Pedro Afonso,TO,35500
1716604,Peixe,TO,3600
1716653,Pequizeiro,TO,817
1716703,Colméia,TO,60
1717008,Pindorama do Tocantins,TO,615
1717206,Piraquê,TO,1135
1717503,Pium,TO,3340
1717800,Ponte Alta do Bom Jesus,TO,160
1717909,Ponte Alta do Tocantins,TO,110
1718006,Porto Alegre do Tocantins,TO,380
1718204,Porto Nacional,TO,13700
1718303,Praia Norte,TO,100
1718402,Presidente Kennedy,TO,60
1718451,Pugmil,TO,154
1718501,Recursolândia,TO,150
1718550,Riachinho,TO,89
1718659,Rio da Conceição,TO,40
1718709,Rio dos Bois,TO,5150
1718758,Rio Sono,TO,1641
1718808,Sampaio,TO,167
1718840,Sandolândia,TO,120
1718865,Santa Fé do Araguaia,TO,6600
1718881,Santa Maria do Tocantins,TO,4300
1718899,Santa Rita do Tocantins,TO,3270
1718907,Santa Rosa do Tocantins,TO,8550
1719004,Santa Tereza do Tocantins,TO,45
1720002,Santa Terezinha do Tocantins,TO,80
1720101,São Bento do Tocantins,TO,700
1720150,São Félix do Tocantins,TO,40
1720200,São Miguel do Tocantins,TO,83
1720259,São Salvador do Tocantins,TO,60
1720309,São Sebastião do Tocantins,TO,50
1720499,São Valério,TO,650
